id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.heartbeat_request_counter,udps.heartbeat_response_counter,udps.pfd_management_request_counter,udps.pfd_management_response_counter,udps.association_setup_request_counter,udps.association_setup_response_counter,udps.association_update_request_counter,udps.association_update_response_counter,udps.association_release_request_counter,udps.association_release_response_counter,udps.version_not_supported_response_counter,udps.node_report_request_counter,udps.node_report_response_counter,udps.session_set_deletion_request_counter,udps.session_set_deletion_response_counter,udps.session_establishment_request_counter,udps.session_establishment_response_counter,udps.session_modification_request_counter,udps.session_modification_response_counter,udps.session_deletion_request_counter,udps.session_deletion_response_counter,udps.session_report_request_counter,udps.session_report_response_counter
0,1,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,17,4,0,0,1734872406735,1734872415870,9135,40,18450,1734872406735,1734872415868,9133,20,16030,1734872406744,1734872415870,9126,20,2420,63,461.24999999999983,429.58917464754506,1155,448,801.5,362.68334746210195,1155,63,121.0,59.50674442093894,179,1,234.2307692307692,359.15818693003007,907,118,480.6842105263158,387.1693646959485,909,113,480.3157894736843,392.61800103515645,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,0,0,0,0
1,1,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,17,4,0,0,1734872416762,1734872426761,9999,95,28307,1734872416762,1734872426761,9999,48,9484,1734872416765,1734872426761,9996,47,18823,63,297.96842105263147,334.1825992335016,1155,63,197.58333333333334,76.34407927086625,255,63,400.48936170212767,448.33260519882595,1155,0,106.37234042553192,267.1134422949893,883,0,212.74468085106378,351.4254493324051,890,0,217.304347826087,351.8559597692226,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,10,10,0,0,26,26
2,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,17,4,0,0,1734872426762,1734872427807,1045,15,3691,1734872426762,1734872427807,1045,7,1325,1734872426762,1734872427803,1041,8,2366,63,246.0666666666667,286.24726241152985,1155,63,189.28571428571428,90.62323889914455,255,63,295.75,388.3175247139897,1155,0,74.64285714285714,228.73283277922474,860,1,174.16666666666666,341.8733196180519,864,0,148.71428571428572,318.72648372636286,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,5
3,0,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,17,4,0,0,1734872429663,1734872429880,217,4,1845,1734872429663,1734872429877,214,2,1603,1734872429667,1734872429880,213,2,242,63,461.25,489.80701982175253,1155,448,801.5,499.9244942988891,1155,63,121.0,82.02438661763951,179,3,72.33333333333334,119.22387903995296,210,214,214.0,0.0,214,213,213.0,0.0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4,0,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,17,4,0,0,1734872430886,1734872431286,400,8,3690,1734872430886,1734872431282,396,4,3206,1734872430892,1734872431286,394,4,484,63,461.25000000000006,453.47318396067107,1155,448,801.5,408.18664031706544,1155,63,121.0,66.9726312259966,179,1,57.14285714285714,115.77914114299486,316,16,132.0,165.87947431795172,322,9,131.33333333333334,168.86779839073327,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0
5,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",8805,"10.100.200.6","02:42:0a:64:c8:06","02:42:0a",8805,17,4,0,0,1734872436745,1734872436776,31,50,7950,1734872436745,1734872436775,30,25,6375,1734872436748,1734872436776,28,25,1575,63,159.00000000000006,96.97464427701226,255,255,255.0,0.0,255,63,63.0,0.0,63,0,0.6326530612244898,0.5661962833616245,2,0,1.2500000000000004,0.531609533071195,2,0,1.1666666666666672,0.7613869876268811,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25
6,0,"fe80::c496:47ff:fee0:1238","c6:96:47:e0:12:38","c6:96:47",0,"ff02::2","33:33:00:00:00:02","33:33:00",0,58,6,0,0,1734872417954,1734872417954,0,1,70,1734872417954,1734872417954,0,1,70,0,0,0,0,0,70,70.0,0.0,70,70,70.0,0.0,70,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ICMPV6","Network",0,6,"","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",46363,"192.168.36.56","02:42:85:a5:92:9e","02:42:85",80,6,4,0,0,1734872440730,1734872440816,86,10,1021,1734872440730,1734872440816,86,6,530,1734872440731,1734872440781,50,4,491,66,102.10000000000001,75.22772833943021,285,66,88.33333333333333,50.886802480276415,192,66,122.75000000000001,108.23238886765829,285,0,9.555555555555555,14.000992028344912,35,0,17.200000000000003,17.31184565550421,36,2,16.666666666666664,15.567059238447492,33,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,"HTTP","Web",0,6,"iith.ac.in","","","Wget/1.21.3","text/html",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,"10.60.0.9","02:42:0a:64:c8:0f","02:42:0a",47103,"192.168.51.14","02:42:0a:64:c8:02","02:42:0a",80,6,4,0,1,1734872440793,1734872440847,54,7,1395,1734872440793,1734872440847,54,4,530,1734872440794,1734872440817,23,3,865,110,199.28571428571428,195.2679477757971,637,110,132.5,39.84553509073089,192,110,288.33333333333337,301.98068370896397,637,0,9.0,11.627553482998906,30,9,18.0,11.532562594670797,31,0,11.5,16.263455967290593,23,2,0,0,0,6,2,0,0,1,0,0,0,3,1,0,0,1,0,0,0,3,1,0,0,"HTTP","Web",0,6,"newslab.iith.ac.in","","","curl/7.88.1","text/html",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,"10.100.200.2","02:42:0a:64:c8:02","02:42:0a",53247,"104.244.42.129","02:42:85:a5:92:9e","02:42:85",80,6,4,0,0,1734872440788,1734872441183,395,7,884,1734872440788,1734872441183,395,4,341,1734872440903,1734872441131,228,3,543,66,126.28571428571429,124.51066123792275,403,66,85.25,33.380383460949034,135,66,181.0,192.29924596836048,403,0,65.83333333333333,49.101595357652755,115,0,131.66666666666666,129.55436439322813,259,92,114.0,31.11269837220809,136,2,0,0,0,6,2,0,0,1,0,0,0,3,1,0,0,1,0,0,0,3,1,0,0,"HTTP","Web",0,6,"x.com","","","curl/7.88.1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
